Player,PTS,AST,ORB,DRB,STL,BLK,TOV,FGA,3PA,FTA,eFG%,FG%,3P%,FT%,G,MP,TS%,USG%,AST%,ORB%,DRB%,STL%,BLK%,TOV%,3PAr,FTr,OBPM,DBPM,0-3 % of FGA,10-16 % of FGA,3P % of FGA,0-3 FG%,10-16 FG%,% of 2P Ast’d,% of 3P Ast’d,Dunks %FGA,3PA% Corner
Cam Reddish,8.8,1.8,1.4,4.1,2.8,0.8,1.0,7.9,3.9,2.2,0.473,0.404,0.277,0.615,33,589,0.498,8.8,4.8,3.3,9.1,2.8,1.6,10.2,0.5,0.277,-4.4,1.6,0.245,0.032,0.5,0.87,0.0,0.52,1.0,0.096,0.489
Jarred Vanderbilt,12.4,3.5,5.8,9.7,3.0,0.8,2.5,10.2,2.7,3.0,0.525,0.488,0.281,0.556,36,581,0.537,12.5,9.4,13.6,21.5,3.0,1.6,17.5,0.264,0.298,-2.3,1.3,0.554,0.008,0.264,0.672,0.0,0.7,1.0,0.289,0.75
Joel Embiid,38.8,7.3,3.1,10.2,1.2,1.5,5.3,27.1,6.6,14.5,0.481,0.444,0.299,0.882,19,574,0.58,34.2,25.6,6.8,24.5,1.2,3.1,13.7,0.244,0.537,3.7,-0.3,0.194,0.203,0.244,0.623,0.422,0.538,0.957,0.016,0.0
Moritz Wagner,34.2,3.7,3.5,9.6,2.1,1.1,4.3,22.1,6.6,9.7,0.616,0.562,0.36,0.718,30,564,0.649,26.8,13.7,7.7,23.1,2.1,2.0,14.1,0.301,0.442,2.6,1.4,0.486,0.008,0.301,0.711,0.0,0.69,1.0,0.076,0.307
Malcolm Brogdon,25.7,8.3,1.8,5.9,1.1,0.4,3.2,20.2,4.7,7.8,0.467,0.433,0.286,0.88,24,564,0.544,23.7,27.4,3.9,13.0,1.1,0.8,11.9,0.233,0.383,-0.1,-1.5,0.296,0.129,0.233,0.676,0.355,0.364,0.938,0.0,0.089
Jordan Goodwin,14.6,3.8,3.4,6.7,2.7,1.0,2.4,13.0,6.2,1.0,0.528,0.438,0.382,0.818,29,543,0.541,14.1,10.5,8.1,14.9,2.7,1.9,14.9,0.472,0.076,-1.7,0.8,0.146,0.118,0.472,0.571,0.412,0.459,0.962,0.0,0.456
Richaun Holmes,20.5,3.7,5.5,10.2,0.8,2.0,1.9,12.4,0.3,5.3,0.647,0.647,0.0,0.833,31,534,0.695,14.7,12.1,12.0,22.5,0.8,3.9,11.3,0.022,0.432,1.2,0.0,0.626,0.036,0.022,0.77,0.4,0.633,0.0,0.281,0.667
Mouhamed Gueye,17.3,2.4,3.9,8.3,2.5,2.9,1.3,15.0,7.1,3.7,0.482,0.421,0.259,0.762,33,533,0.52,15.7,6.6,8.8,20.0,2.5,5.7,7.3,0.474,0.246,-1.6,1.0,0.339,0.053,0.474,0.655,0.556,0.824,1.0,0.17,0.593
Bismack Biyombo,13.2,2.8,3.9,10.5,1.5,2.1,2.5,10.4,0.0,2.3,0.588,0.588,0.0,0.4,28,528,0.576,12.3,7.9,8.7,23.4,1.5,3.9,17.8,0.0,0.219,-3.6,0.0,0.465,0.088,0.0,0.698,0.1,0.791,0.0,0.123,0.0
Keaton Wallace,15.7,7.6,0.7,4.0,2.6,0.8,3.1,15.1,7.7,1.0,0.485,0.401,0.329,1.0,31,501,0.503,16.4,21.0,1.5,9.6,2.6,1.7,16.5,0.506,0.068,-3.3,1.0,0.08,0.191,0.506,0.538,0.419,0.289,0.815,0.025,0.122
